account_number,account_type,balance,last_transaction_date,last_transaction_id,last_transaction_amount
IT37 P916 8185 131I 9JCJ KNUC YCJ,Checking,$45336.27,2020-02-29 15:48:11,1HD7Kq6mLUn9ppZmpS5yeY3PFsHYYAX6AZ,$510.93
FR57 1948 7633 17X8 N1BB 0ADQ H85,Checking,$56301.65,2020-02-21 22:38:18,1BBnzZKKwM5UJPBJ28srMgz2YVFYn2s87E,$-1184.58
CY67 1120 1869 DOZG Y1AI C9NW H2V7,Savings,$59470.66,2019-09-09 05:56:20,1HrXcA26UrsAKE3FTCUBJtvnt2T3QLGatk,$376.21
GT60 TIE9 G6C5 UCLR AURX 7ITR II5I,Checking,$7199.85,2020-01-11 07:50:55,15X47bqJMSS6XnzuzNsH1rg925zsQdc64L,$-667.00
PL26 2098 3612 1770 1763 6277 1197,Savings,$53548.20,2020-01-31 10:16:51,19X9FvyUomUrVB3tEpZtAeDo6URboh44g,$-1043.71
BH56 AEIK SQUJ 403F APVH WY,Checking,$66537.89,2020-04-25 09:44:07,17BW4M8PQgiNNDrC6xxhhY7CVsFRUxoenx,$-1331.80
FR98 6976 8108 42TB BWLK XPBF 780,Brokerage,$24298.18,2019-08-23 13:38:40,1Mr8zuQcdmgZVuJGFa1GUnWYNtrxcC9RzY,$35.26
DO20 BK3E 2833 8277 3196 6290 2598,Checking,$61602.79,2020-03-04 20:12:27,18c8jaLxPwfXaTZX1vvgYKrPRedZxM2oX2,$-1491.37
MR93 2494 8981 2078 5324 5538 615,Checking,$48795.42,2020-06-13 08:51:40,1ANhLLkpgRbt8J5edbgf8obJXDxFncTQe7,$-956.55
FR93 2031 5966 13TE PLDG IPCY V24,Checking,$27134.21,2020-03-31 14:49:13,1GRSy8FNmJexz4BJ3uCCG5G9xxyr3tddaP,$742.96
MD55 LVWF IHVU 4PQ1 Q5CS CP2G,Checking,$42242.96,2019-11-25 20:30:10,1AGMVVNSjGWFhhAJLa7XGhoP5NXVD1ATHV,$-1279.49
MK85 298E BRLW 5UCM 044,Checking,$13826.96,2019-07-18 00:52:44,1BnfeQRDWBxRoP5drdWEPpLHcCQtCaXK3p,$446.03
GI97 QWJX CPE0 TCG0 JGIW YSG,Brokerage,$34176.12,2020-02-04 22:39:05,1A5p1ykYvfk5VWgL8Y3m8ZcJosUHe2Cvqh,$-1199.54
GR37 9994 443P UUAE XONZ CS6S YHA,Brokerage,$44393.18,2020-01-04 06:11:54,18nZfu8CSnVmhFEDexU8pShDCKdy6wMVy,$567.85
MU88 AAIL 3035 3754 2253 0098 222Y PH,Checking,$5663.28,2019-07-02 11:36:33,1JUmoqvhqJ6KpDtsfgrHGzwNp9RDPmEHJp,$-842.91
DK71 6569 8314 1458 49,Savings,$69511.27,2019-08-20 23:07:06,12po9BLy8RFMLRGzPQ9V3KprkRLramPVUV,$-1116.74
RS25 9509 9911 9525 1919 97,Brokerage,$9067.98,2019-10-16 05:56:36,1TdkXKgUhe3K8H8PDFdtdUhakug6REhy5,$743.06
FR12 4101 0610 34YQ IHBS GTCD Q17,Checking,$51178.02,2020-04-17 21:57:37,19FaNd5au5jnj4x9QqAiVc6zwoNoepMbLs,$354.59
CY02 8404 2499 MTSD 2UMP G6HE LOXK,Checking,$25722.62,2020-02-26 03:38:29,16MC6MjiDummSWd97aDs2oyEy8StqyxqQf,$-627.61
GI28 ADXT LLVM PEAA IDHZ 4MS,Checking,$21346.42,2020-04-25 09:24:20,1FP64Jx1vV31Bz3Fanwp7ujUTDRvFSGHhw,$306.61
HU47 8759 4322 8516 2625 4243 5398,Checking,$61175.60,2020-01-20 05:34:48,1Av6sBoXKspVbEcerDit1rKWAr2k5WkxWy,$195.42
LI51 0811 6E9Z VOTQ IUYY P,Checking,$99947.27,2020-03-17 00:07:42,18xRkMA5Cipbw4WDp1Aw8hMiEuU87sN1Sv,$685.01
MD58 VFJW CZSJ VFJP MPZE GWWC,Checking,$86731.88,2020-05-20 02:31:11,14Z5EFVnMLwfJmg51zbwUZEzMob1Sfz3x6,$-1267.07
LT40 8218 1026 6790 0068,Savings,$11180.88,2019-11-25 08:59:17,164XkZRsVGvzTgZoF2PxaBQ4YmfiGZhTiw,$-1061.36
SK16 6741 7875 0231 0393 2134,Checking,$22350.55,2020-02-09 16:11:20,19uxdAKX1iSZcihSohAKVPzXWC6wihGRJ6,$137.94
EE56 5124 6107 4051 8037,Checking,$63727.10,2019-11-29 16:59:57,13itrnpQUgLtHsRNf9pPe3CguAFaqkyCHy,$29.65
MK49 798N JRVE ORTX I03,Checking,$6777.69,2019-09-22 13:56:41,1952AyYABr47D6eJe3JA6kkuxzL3KipUn3,$158.04
SM44 U783 2219 674N JDBN ZJMG DIU,Brokerage,$51440.29,2020-05-27 20:50:45,1KMWHgUgnEk8kMHmYb5txagwdvsW1Si3LA,$-404.33
FR06 8457 5290 59ZU HUY7 NII8 D29,Checking,$10393.80,2020-04-11 18:59:48,1JQmMfAkiv68D8dBWzAu9GSrApTJMnjapV,$731.67
