confirmation_number,tradeid,transaction_date,completed,investor_id
02-132-9595,BG18 WNDC 5485 21U9 OZ3Q 2W,1566523877000,false,31446
73-191-5414,DK74 3215 9716 5121 68,1572672225000,true,66922
17-063-0800,FR85 5851 9971 28YK JDOS EDSA 040,1589928472000,true,93754
20-716-8758,FI40 9252 0676 1435 44,1569179973000,false,46895
44-491-0931,FI38 9172 6007 4230 88,1567795468000,true,18701
64-973-2930,LV35 RFRR NAGS K73N YUFC A,1584026411000,true,96664
28-484-6610,ME40 6589 0810 4511 0885 84,1583973121000,false,86706
96-524-8747,MU40 VRDO 1709 1130 9383 9121 715G PF,1586429039000,true,22100
96-991-8000,CH66 0698 9IMM JZI0 WXVH E,1562011477000,true,93140
45-875-4178,BH06 PCEO A94A LEKX UX6X WO,1571176733000,true,79190
05-201-7283,RS79 5870 7211 5429 8862 59,1573914985000,false,23464
36-422-3003,AL12 5467 6027 5EKG VGJH KKSD 9FXB,1563562335000,false,12061
46-255-4150,GL68 4610 5992 6312 29,1566905889000,true,54860
35-291-5267,IL02 4997 4550 7150 2719 421,1566879980000,true,19972
25-650-0289,SI04 3540 5829 7866 616,1565095401000,true,91353
61-474-2025,IS11 0936 1339 6528 3592 2201 50,1566091041000,true,18388
83-685-8010,BH48 DFBJ BM47 UFUR ST13 HS,1576712331000,true,23934
06-494-6809,SI43 2054 2645 6363 120,1585303882000,false,47221
28-625-7021,BA20 7735 2293 8474 8963,1561897920000,true,23806
74-830-5443,CZ50 1303 1915 7763 1963 9970,1566072682000,false,49105
54-581-4667,SA21 18KL WJFD YQT2 HPTT ZF5X,1569937655000,false,89113
18-456-0682,CZ65 9585 7808 7241 1567 9347,1575664294000,false,92066
09-905-7154,GL59 9085 9978 9635 12,1574975327000,false,13269
93-874-9795,RO75 BSZP MO6P MBCC BDKV VKPY,1591774229000,false,66189
16-382-5831,AZ76 DSPV PFZA 43DZ EQPK LG2S IBLC,1581165559000,false,33867
90-184-1752,SE17 4284 2321 8808 7134 2794,1582267757000,false,80665
33-709-1577,FR47 2417 4568 04X3 VRNC BODJ H60,1572026527000,true,58853
06-662-4121,MC29 3561 6179 24ED JYGK QSUY Y92,1562457127000,false,73653
08-047-6715,FR94 6075 2657 034B 8JOR 2UCJ 910,1577781627000,true,55002
79-533-1991,GE12 QM81 4466 9078 1294 35,1563940747000,true,10497
42-124-0814,HR62 2637 4760 9592 8644 9,1585746967000,true,27525
57-582-2433,BG33 IKYX 4443 92ET KHKH MO,1569412449000,true,89942
71-801-4519,FR44 0571 4892 89XQ LXQP AT6V J16,1572446478000,true,46520
28-002-9320,IE97 BYHN 2393 9282 6766 66,1580925769000,true,90755
21-120-0805,GI35 JCFY NJVB WKIW QG7G PZC,1582107799000,true,67554
88-419-0476,IT27 Z194 8335 012D XBQG 5LKH 8CQ,1566482079000,true,30641
41-062-2029,PK26 FIKI OTA4 K3ZX LZHJ IXNL,1576453837000,true,61082
67-096-2925,FR39 4296 2395 36PF FXJG WZJE L23,1585472602000,true,40695
76-781-8394,IE15 QJMM 2712 9496 2321 47,1563461514000,true,81688
24-437-3312,MR49 8839 7181 3898 8157 0204 170,1564580874000,true,62154
19-883-5770,EE93 3981 1014 8896 9171,1592528834000,false,22082
04-799-6705,FR31 8594 1944 42TF HOGY HQGO C44,1581735868000,false,39522
00-038-4949,FR40 5815 9763 74JJ 7NVV PPTC W72,1580822331000,true,78705
04-983-7467,GE47 DB06 3129 8803 6008 92,1592558137000,false,11527
91-315-6088,FO11 7797 7180 3950 31,1573216850000,true,51920
70-775-6622,FR46 5662 0320 35XE PLGK 5EOA Y25,1568542190000,true,56721
06-747-2730,FR23 7922 4442 237G JLNU AKQK 756,1579802672000,false,40837
94-362-3043,AT57 3844 2044 7686 9636,1574431756000,false,14731
61-246-7317,ME32 1491 5616 6839 8044 65,1586996220000,false,68605
83-128-7060,IS11 2349 1274 5079 3434 4432 50,1574306568000,false,72371
49-902-8033,AE87 4182 5337 7687 9190 123,1589469711000,true,56652
15-648-1094,AL56 9334 7977 XIPX VJCK UXZU 9WXV,1587443340000,false,55347
98-108-6385,SM14 U900 9528 199U YPDA BDHE CGN,1586325965000,true,22801
42-704-0528,HR46 0713 8407 5686 0363 9,1583216649000,true,57747
35-761-2890,BE48 1767 6862 9690,1585369436000,false,41398
08-726-1385,GB13 XCRJ 1785 2364 1487 71,1571560784000,false,34687
11-706-4705,DE50 5719 4931 3948 4801 25,1577016488000,true,68869
27-095-4416,BA21 9783 6922 1297 3201,1567410800000,false,90550
92-739-3917,SK62 5066 6713 2449 9130 4584,1574534248000,false,96983
78-923-5558,LV21 ZLVP M2PY 7DUN XAJ9 P,1563540840000,false,74320
26-066-5982,GR07 3534 7107 LHPD A0I5 J6OR GD6,1564120715000,false,19340
52-563-8277,MK88 126O FJ3S VD1I Z17,1584810854000,false,80181
26-404-6488,NL36 VKBT 6381 3304 97,1588933019000,true,33943
07-675-4760,SI65 2431 3010 6908 503,1562382269000,false,35387
76-253-3338,PT56 0850 1762 3151 5892 9497 8,1574487426000,false,50591
21-476-4107,MC66 1902 7190 0605 29WF RPUW 878,1571669040000,true,96868
21-815-5897,AT76 2351 1473 9184 6424,1591418667000,false,58499
45-112-8989,DO04 IA1S 2699 8263 2360 1682 8235,1571489610000,true,69445
45-471-9953,MR11 4970 2612 3775 6093 5117 051,1591059801000,false,51038
95-947-3262,IL76 7184 4188 1455 1779 045,1564390424000,true,73587
15-970-2059,AE94 8388 1388 9542 6199 091,1564039101000,false,74119
22-090-9695,AE02 5278 5917 7569 7249 529,1566471559000,false,80316
74-236-8931,LT81 5991 9230 7198 5957,1564360709000,false,56653
77-629-7771,IS32 7352 6474 9539 2381 6048 13,1570998008000,false,93401
03-552-7439,SA28 50OO 8RWG ZEYC 05ZK Z1C5,1574652039000,false,22401
90-123-7059,GB97 WAOH 5841 5765 4395 22,1583771126000,false,44711
28-142-1533,ES87 5696 2094 0304 5944 5586,1568419207000,false,24040
58-898-7462,FI32 1591 5862 3248 32,1564178218000,false,71068
51-751-8692,AZ32 PXQI T9YK NXMH Z50S 0DJP F1DG,1562415716000,false,69497
55-596-9165,RO54 JCDA TETA NZEX C96J Z4FQ,1576976300000,false,25569
34-255-5313,CR85 4895 9363 8333 1414 8,1588360623000,false,89802
35-717-6499,FR71 6607 2969 819H SUPR SZHQ U50,1578041075000,true,23213
31-589-8651,LT67 4286 7579 1981 3162,1568072908000,false,55725
06-419-0916,VG80 TJDD 5993 1846 3326 6923,1580722015000,false,83390
87-506-6295,AE79 3229 8609 2194 8988 919,1579967528000,true,59677
75-800-3279,GE58 PB79 1386 7614 8064 84,1586592607000,false,11471
01-925-3513,LI02 2939 39CD XPER JKEK W,1590123829000,true,27824
24-402-8433,EE70 1187 3049 2328 5538,1570880661000,true,83380
43-237-5690,IT82 Q943 7667 263T XFTG 3BUI Q7U,1580981581000,true,51274
14-463-2159,GB97 VXUG 5557 5600 4114 65,1577810409000,false,28597
64-889-6830,MR18 4030 4339 2315 0254 7286 204,1562708364000,true,51875
48-129-2080,FI55 4600 1899 5223 07,1592140415000,false,39250
21-140-1690,GI65 CKBL BGC3 B2RV ZHJA 8S9,1571574629000,true,48203
55-450-2413,FR24 7652 2488 56SG XNIQ TZVU I52,1582604826000,false,55119
20-012-6048,BR44 9994 9332 6699 2389 4303 763Z 7,1584044920000,false,38770
27-020-8298,AZ31 QBKC UU6B GOST IIH2 9WBL ZYMC,1577710114000,true,46282
68-615-3417,MR23 8948 5415 3491 2699 8727 691,1569269222000,false,92828
85-939-4873,CZ69 9082 8899 4457 6500 7453,1561411426000,false,32627
85-392-3594,TR16 8220 3NA7 C0RS WHNG UKQH Q4,1584480349000,true,40770
62-617-6805,RS87 8004 1333 3769 3252 96,1581862943000,true,73916
09-472-6192,HR19 9361 5034 4556 1551 5,1575524568000,false,35585
29-686-5914,MU63 DLWF 6643 8680 3232 3619 752V LQ,1566617110000,true,90155
23-041-0046,FR74 8373 0744 85PD KQAE LK0P 649,1568152747000,true,14276
72-495-6744,LU36 812M SFQY GIMI EQBU,1580499635000,false,22524
64-147-1197,MT13 AXHK 7000 5Q6I 8GR1 16E7 RMYW NCT,1581896364000,false,43592
58-277-5779,CH79 8660 8X67 WP4F EKQL F,1582463744000,true,57697
82-637-6632,CZ04 4785 6018 2195 5009 0942,1562290202000,false,21781
24-132-6800,CR73 1908 3313 1202 9806 7,1577574545000,true,63611
75-608-5656,AD54 6519 2878 BQ5Z CFWC EGF2,1562032857000,true,81440
32-253-9549,AT19 8086 3078 2161 1841,1569431948000,true,77528
55-792-2714,AT10 3036 3231 3579 7121,1585483347000,false,83536
72-070-1531,NO79 4835 0787 204,1582924398000,true,91419
39-609-2966,FR36 5922 4137 34YB XHHM 6LIJ 396,1565235583000,false,35331
93-704-1780,FO79 0079 7559 4247 78,1572682954000,false,63638
58-248-6844,CZ57 3240 2278 1714 3854 4080,1576519921000,false,32107
36-261-6786,LT11 0318 8097 0581 7924,1565813527000,true,27225
16-615-7500,GE63 SD81 7244 1785 8480 25,1572825207000,true,62240
49-755-7957,AE18 7340 2349 4502 7136 074,1589439287000,false,61130
85-033-7708,PL38 2730 0738 2866 3794 0127 6708,1583863201000,true,66217
24-111-4700,EE65 4197 3536 1437 8679,1580625430000,false,39433
00-106-6755,DE28 2520 2742 7508 2131 66,1569733598000,true,80542
42-025-0292,BE46 5339 1677 9171,1562678523000,false,74977
81-456-4716,DK50 9258 6686 4996 75,1579757940000,true,48300
11-588-4410,IL44 5081 3644 2920 4793 394,1588260509000,true,65170
13-513-2709,ME69 1966 8521 6067 2944 40,1580411823000,true,63436
84-923-3923,LU94 269V 37ZE CMUH MSH3,1588181213000,false,75378
36-913-8617,LV97 JUBH DCNI KDS3 H7NL 6,1570111986000,false,23039
71-675-3933,LB38 0631 NGK2 KGZA WIHI TYGX R78R,1574962071000,true,12800
46-624-9178,FR85 4432 3268 62W4 XBUB 4P6Z 869,1574493267000,true,68978
27-927-2386,SM93 V981 5092 027P TVV7 RFDU YLV,1575839679000,false,51878
93-895-3180,AT87 8498 5343 2140 1896,1571011547000,false,29702
60-615-5022,ME53 8994 9725 9622 3999 94,1574103136000,false,91642
53-861-1663,BE58 9284 8271 6327,1590109875000,true,76199
13-833-8822,KW72 EGXD YAXO ENGK 1MNF 6LWD CAEI 5Y,1576806013000,false,91367
63-046-8996,SM55 D838 4734 875H 3MRR 48KH BTI,1584969544000,true,40460
17-447-0924,LB59 2562 KLKM QQZJ Z1XQ VRCX MEY0,1586397858000,false,26444
98-194-3747,SI83 7577 2384 6723 900,1589507070000,false,10584
95-274-7657,GI02 NTUF YWRS FDP3 BCS8 WPP,1590566139000,false,71822
07-841-3859,DO93 TUO6 8784 0809 8465 8904 4636,1588336477000,false,77775
23-652-8383,ES49 3266 6442 7870 5786 2450,1581268876000,true,77824
82-382-4161,FR88 4234 4595 79HH S4AD KGJT T82,1581463059000,true,52428
03-480-4413,BE34 3269 3971 6643,1580778503000,false,48685
34-316-3117,BH63 BPSU DKDA CE5E TNDD GB,1574779717000,true,69946
97-279-2279,LU62 607K N0HZ Q0RT 83J9,1578228297000,false,62607
95-156-6775,DO10 JNWC 8753 8755 7083 4273 3822,1578404472000,false,52295
59-337-8173,MR91 0805 4237 8268 2068 5269 559,1577499022000,false,11242
38-404-0987,AD41 4267 2985 KNJB CAEJ 1NOC,1578891483000,false,47079
59-380-1788,FR54 1289 2575 86VR XCF0 L2EB 421,1580255629000,true,65523
23-087-9365,CH04 3574 18Y1 MDCZ LG03 7,1586413427000,true,89172
90-292-3636,FR24 8707 5233 41EU LMJY 5S31 K75,1564203958000,false,96051
75-181-7889,TR27 9483 4BAV ZEQL JPWM UQFT Z5,1581586190000,false,88826
61-498-5970,FR79 4678 9111 53XW VTL6 JHWD I66,1577236342000,true,79867
65-048-5098,ES13 4907 4254 0521 3042 2549,1567835466000,true,65605
14-577-4312,IS96 6466 1911 5783 7166 0168 66,1588539062000,true,54392
93-075-5118,LI43 9144 5TXX VDET NDXL U,1590343736000,false,65189
32-245-2425,SE63 2180 6139 8034 6293 3726,1565661205000,true,99567
62-337-1103,FR03 2803 8933 787C LQIW 8NMR Q86,1571357699000,true,63909
41-148-5887,FR14 2617 6429 11DD U6XR H7UQ J38,1566870994000,true,15470
88-396-7293,GT04 SHZW MJQB R0QS O0QX XFZE 2ZTV,1561764900000,false,73142
56-246-3097,FR92 9321 9754 25M3 V6JR MM4S K13,1568585091000,true,10080
63-983-5910,FR07 9339 2208 66RG BSVM 3HD5 E91,1565361021000,true,12239
64-438-8217,BA92 0361 5087 0249 3888,1590583308000,false,13620
91-337-3053,MR78 6498 3761 2240 2661 9133 321,1585033919000,true,36360
06-976-5819,MC55 7343 4892 81NH LVLE CRWO 288,1576190287000,false,23105
67-455-2811,RO14 KRYI 7IOX B3JV 2MJE DO5E,1575418065000,false,44711
74-011-2381,SK22 0416 3175 8262 8031 3722,1591867444000,true,58644
16-178-5110,FR21 4612 2541 80GY FZK9 INKG D97,1584089665000,false,65404
39-997-3431,GE68 DY70 2019 7521 7643 37,1563246855000,false,46400
87-641-7852,LB53 8429 0LJB CYKA V2LU E5YC NSJG,1586863041000,false,31282
91-514-1577,DK49 0512 1966 9245 43,1581217136000,true,12595
64-307-6452,CZ57 0453 6003 9086 8067 9355,1562675793000,true,69872
03-126-4616,CY74 2156 5711 5GKU DPKL D23W 6UUZ,1577010110000,true,36181
69-570-8893,PS44 NBYQ XSH2 IVBX GT1W GTIV ILCG X,1582630288000,false,71815
08-726-1428,LU26 228G YHQU ATWP BZSD,1578112970000,true,82917
27-057-3555,RO87 KFJZ 6ACE 2CXX FDDW W5LM,1580599042000,false,32436
81-153-4137,FR94 3176 4949 417V VC5V FAGU N10,1572643349000,false,37186
15-655-9508,VG16 SCWO 6184 7708 3075 4566,1581985633000,false,20360
44-980-3175,AT06 1776 3465 8871 7685,1577093376000,true,52169
99-672-2462,AL31 9149 3519 GLIQ NX5Y 003I JQPU,1574973239000,true,24462
21-546-5706,SM42 B149 5358 865F PELM FOVB ITT,1580282560000,false,65932
49-225-8368,FR95 4136 8190 62YC EQOZ SCE5 J20,1587856131000,true,18925
03-827-6910,LB63 2457 GG1R DWGT CVXY IJM6 4R9K,1566979835000,true,96038
46-225-5591,SM55 K228 0639 093Q QHEY N2SH NAA,1584265774000,true,34018
88-824-4360,FR47 3624 3896 90IS EOCD MSTP 033,1581089887000,false,33913
06-075-2631,CY03 1289 4418 QDM1 L9CO AQNS 2BTS,1572509166000,false,63376
06-716-9685,BR49 5155 8531 9946 3096 9618 677V O,1561307576000,true,10208
30-162-6429,BA17 8629 0958 1838 3166,1575541490000,false,37402
14-031-2809,IT56 F664 3669 6234 6NFY 2QZV A34,1581842328000,false,18136
83-158-1792,GE15 WI73 5349 1650 5699 51,1586893328000,true,45541
28-682-9724,BA76 6103 2384 7287 5567,1577283624000,true,13839
78-232-1798,LB79 3012 YR8T QG2X QNAS PWNH VVAJ,1590658465000,true,81427
38-997-4707,DO08 T3YO 1427 1442 0290 4917 3732,1587050025000,false,99792
03-931-9315,IL40 5934 2599 4200 5145 795,1562788426000,false,60702
15-451-4442,SM75 G114 3345 222K TV3V HTND WDY,1566706133000,true,26106
48-592-1405,ES98 9365 3547 8352 8065 4380,1572304298000,true,50612
60-903-1859,TN66 6594 1993 6023 6926 2767,1573435766000,false,92605
59-123-5062,LU40 623N ZII6 KZ3S WO4J,1582978873000,true,18040
83-044-2870,NL31 GOJP 4028 3657 26,1579104328000,false,10556
03-002-8417,BH90 KXXM HCLZ XLZ0 QY6V AB,1583307812000,false,79978
56-453-5061,KZ41 266D WSU2 CFB6 PDSQ,1579628574000,false,17616
65-838-2920,KZ24 154D WNMU 7NMJ MUV3,1563921692000,false,27191
34-644-8712,LV28 KIDB YIWE SABM WKLW A,1567973156000,true,49292
35-532-3561,DO55 WDQA 0627 9376 1428 5466 4466,1574093090000,false,60723
47-767-7601,GR43 0861 003E ATWV ROQA RFTM V8P,1590183510000,false,22360
06-422-5581,FR29 9698 4068 86MW PHPZ LM3F G77,1590138452000,true,98238
18-957-0443,BR51 1481 2421 5430 1030 1093 132Y H,1570447249000,false,31769
71-305-4294,GL27 4635 5223 6737 18,1589478579000,true,15046
66-442-6470,KZ72 886V OQTJ YVRH YADC,1586599726000,true,95820
90-014-2014,SM67 C639 1035 199Y 1ZJH BEJV HBX,1566605511000,false,54106
32-688-3361,CH06 9079 6I8T RNVG VXFM D,1573670952000,false,34967
41-650-4060,RO52 RNLM SJUR 24YY DRKQ NL5D,1568398473000,false,12887
89-706-4649,CH59 3297 4IME XTV6 HCPZ 6,1582455372000,false,65576
80-926-1406,PT28 4115 9444 4783 0091 7485 2,1577352037000,true,97457
73-039-8771,GE71 LO49 8139 5335 2686 57,1580185357000,false,77648
87-112-6205,FR56 3257 4184 475U HEKC OJAP L86,1581461845000,false,58510
33-910-9878,AT63 3846 4000 7547 9383,1565116350000,true,66436
70-920-0593,DO50 PJD6 7710 4168 2740 5014 7029,1588320886000,false,35429
32-781-2064,BE30 9160 1895 8493,1589665253000,false,70244
73-987-3750,BH68 HBYJ ZWH1 RNA4 D5VY PW,1591219243000,false,19646
84-745-1067,FO36 9522 6812 5743 26,1568037495000,false,53327
63-563-1685,RS81 6839 5402 4526 7381 74,1564070793000,true,42758
01-127-8485,EE54 5737 1147 1229 9694,1572683952000,false,60109
39-027-7103,PS47 LCAF LSG0 PMVB J7TG YCBR NZRO N,1584131476000,true,91563
77-720-2487,TR22 6838 1DHG KDV7 E8NO XWPF R6,1590563907000,true,95861
55-083-6246,IS36 7208 7137 3670 2356 8089 82,1590270781000,true,59774
13-622-9677,CY15 3392 7147 CQBX AJOS HIKX KWKP,1582992238000,true,47293
09-455-0232,MC86 7534 1135 792Y YLYK ZANC Y99,1590372106000,false,55022
08-809-0861,FR69 2166 3046 90KL BMCY LSFM F33,1580954055000,false,26650
80-745-7276,DE51 1761 3975 9913 0084 14,1566385173000,false,36455
56-178-3891,ES27 4429 1436 0042 2240 5935,1592603887000,false,25636
92-994-9340,LI88 2980 5YXQ 2QKD QAUV U,1575335619000,false,38236
05-429-7680,CZ65 1986 1732 6939 3020 6187,1587181600000,false,85005
