id,first_name,last_name,department,manager_id,hire_date,username,telephone,SSN,street,city,state,zipcode,country,status
61-3572474,Durant,Heavens,Legal,30-0269915,2018-04-05,dheavens0,(314) 6745753,314-05-9090,501 Cherokee Road,Saint Louis,Missouri,63150,United States,contractor
13-3019673,Clive,Witherington,Human Resources,93-1757624,2004-08-17,cwitherington1,(812) 6387063,164-45-8352,91 Birchwood Park,Evansville,Indiana,47737,United States,full-time
85-5814137,Stevie,Scadding,Human Resources,77-8778977,2002-08-29,sscadding2,(951) 7712520,305-61-7426,8709 Garrison Avenue,Corona,California,92883,United States,full-time
89-7984016,Etienne,Songer,Training,61-9497115,2011-03-11,esonger3,(806) 1533913,237-79-9740,98 Beilfuss Hill,Amarillo,Texas,79116,United States,contractor
26-9251481,Kori,Castagna,Training,13-0555363,2011-09-13,kcastagna4,(716) 7409498,312-72-5470,42650 Kim Avenue,Buffalo,New York,14205,United States,full-time
22-8492361,Cicely,Flacke,Human Resources,98-9976500,2019-06-28,cflacke5,(505) 2665972,843-74-8174,54912 Logan Lane,Albuquerque,New Mexico,87140,United States,contractor
18-9436380,Layne,Knox,Support,30-0394457,2003-06-06,lknox6,(336) 7347411,542-49-7052,925 Truax Junction,Winston Salem,North Carolina,27157,United States,full-time
15-4336199,Murdoch,Kaming,Legal,98-9195174,2010-11-09,mkaming7,(203) 8911300,549-07-3456,56 Blackbird Lane,Stamford,Connecticut,06922,United States,contractor
96-5214295,Cornell,Onele,Research and Development,71-6508341,2003-05-25,conele8,(941) 6501811,158-64-2688,552 Moulton Way,Bradenton,Florida,34282,United States,full-time
17-6691104,Walther,Klimp,Accounting,44-5783217,2007-12-03,wklimp9,(757) 5056318,775-34-5518,4 Forest Run Alley,Newport News,Virginia,23612,United States,full-time
69-5470167,Antin,Romer,Human Resources,56-5057851,2005-07-19,aromera,(619) 6564603,210-58-0880,1868 Spenser Drive,San Diego,California,92196,United States,contractor
69-5408435,Maureen,Shufflebotham,Sales,95-8165044,2004-12-07,mshufflebothamb,(508) 8671771,690-61-7529,98099 Logan Alley,Worcester,Massachusetts,01605,United States,full-time
49-7005543,Jammie,Boughen,Research and Development,99-9319246,2012-12-17,jboughenc,(304) 8152795,818-34-4844,6474 Parkside Drive,Huntington,West Virginia,25770,United States,contractor
07-9885109,Malia,Arnowicz,Services,71-0554091,2007-10-11,marnowiczd,(202) 5885254,675-43-8624,561 Harper Way,Washington,District of Columbia,20404,United States,full-time
90-9400432,Kliment,Gullivent,Services,14-3188033,2017-07-04,kgullivente,(916) 3091626,744-97-7807,39 Debra Crossing,Sacramento,California,95838,United States,full-time
62-9102794,Dannye,Soars,Legal,17-5837390,2002-07-10,dsoarsf,(615) 2904904,516-43-0377,2 Doe Crossing Drive,Murfreesboro,Tennessee,37131,United States,full-time
94-4962513,Claudette,Trevers,Sales,77-0005698,2013-02-25,ctreversg,(916) 8500481,592-78-3581,5407 Westerfield Court,Sacramento,California,95818,United States,full-time
00-1191986,Ruddie,Hendriksen,Research and Development,32-3414847,2002-08-08,rhendriksenh,(907) 6563667,383-37-5262,3 Ludington Terrace,Fairbanks,Alaska,99709,United States,full-time
81-8268400,Mahmoud,Jedrzej,Services,90-6223629,2016-08-01,mjedrzeji,(321) 1364004,438-46-2024,120 Anthes Point,Orlando,Florida,32803,United States,contractor
39-6681530,Mira,Nayer,Services,58-9081199,2002-10-29,mnayerj,(504) 3058228,784-19-8896,81 Ramsey Way,Metairie,Louisiana,70005,United States,contractor
31-4683222,Tara,Leggatt,Sales,59-2006487,2012-01-31,tleggattk,(832) 7260500,799-49-7849,6 Miller Terrace,Houston,Texas,77201,United States,full-time
48-0467570,Betsey,Phillot,Training,73-0159122,2003-06-17,bphillotl,(404) 9525430,600-90-2843,6130 Fairfield Road,Atlanta,Georgia,31106,United States,contractor
35-3976968,Cameron,Pannaman,Accounting,27-0621379,2011-08-08,cpannamanm,(904) 9821065,591-11-2446,0819 Marquette Court,Saint Augustine,Florida,32092,United States,full-time
42-3422492,Cissy,McNerlin,Product Management,97-5633906,2017-03-06,cmcnerlinn,(512) 5846768,140-46-8635,46634 Mockingbird Circle,Austin,Texas,78726,United States,contractor
07-7657994,Norry,Lile,Human Resources,80-4530641,2016-11-05,nlileo,(423) 2917490,267-03-5618,8 Fieldstone Place,Johnson City,Tennessee,37605,United States,contractor
84-9150120,Giulio,Giddings,Human Resources,69-5203362,2017-01-12,ggiddingsp,(617) 2392976,436-73-6092,13 North Hill,Boston,Massachusetts,02114,United States,full-time
44-3954004,Nefen,Knappett,Business Development,32-4923828,2016-12-04,nknappettq,(843) 2666885,582-51-2669,426 Badeau Parkway,Charleston,South Carolina,29411,United States,full-time
82-5519130,Reagan,Mervyn,Training,50-5918713,2003-05-30,rmervynr,(210) 7079152,352-24-9102,93 Eggendart Terrace,San Antonio,Texas,78210,United States,full-time
60-5999098,Dietrich,Sacks,Sales,25-7346574,2004-10-24,dsackss,(301) 4476056,203-10-7611,22 Hollow Ridge Circle,Silver Spring,Maryland,20904,United States,contractor
79-9317084,Kellen,Rayner,Engineering,75-9441041,2017-02-05,kraynert,(504) 4913521,280-55-9134,53731 Dennis Avenue,New Orleans,Louisiana,70149,United States,full-time
95-9233304,Kizzee,McCart,Legal,77-0305865,2006-11-24,kmccartu,(661) 8308180,790-49-7812,3898 Service Place,Palmdale,California,93591,United States,contractor
53-8858547,Rosemary,Priscott,Training,93-1647502,2002-12-23,rpriscottv,(719) 6132440,639-51-3064,54090 Ridge Oak Trail,Colorado Springs,Colorado,80910,United States,full-time
